# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	51676
#@/user_id	435aafd9-22e7-4862-aa94-9a43e7cfcf27
ban yue tong mian 	伴月同眠	c=1 d=1.27251e-41 t=51676
ban zi dong 	半自動	c=2 d=3.50978e-30 t=51676
bang 	幫	c=1 d=8.9167e-05 t=51676
bang 	磅	c=2 d=1.99501 t=47557
bang ding 	綁定	c=4 d=0.767206 t=51676
bang ni 	幫你	c=1 d=0.00904991 t=51676
bang wo 	幫我	c=200 d=2.99509 t=51676
bang wo ge ming 	幫我革命	c=1 d=5.24539e-57 t=51676
bang wo o 	幫我哦	c=2 d=4.72688e-09 t=51676
bang wo wo 	幫我我	c=1 d=4.14135e-12 t=51676
bang zhu 	幫助	c=6 d=0.818731 t=51676
bang zhu wo 	幫助我	c=1 d=3.97342e-25 t=51676
bao 	包	c=48 d=0.121239 t=51676
bao 	報	c=6 d=0.154124 t=51676
bao 	寶	c=3 d=5.26938e-54 t=51676
bao bao 	寶寶	c=2 d=0.0143874 t=51676
bao chi 	保持	c=12 d=0.142254 t=51676
bao chi zai 	保持在	c=1 d=1.24667e-35 t=51676
bao cu 	爆粗	c=1 d=1.3318e-18 t=51676
bao cun 	保存	c=41 d=0.60937 t=51676
bao cun dao 	保存到	c=4 d=0.0104099 t=51676
bao cun de 	保存的	c=1 d=2.26495e-30 t=51676
bao cun zai 	保存在	c=5 d=4.42941e-09 t=51676
bao cuo 	報錯	c=70 d=0.182604 t=51676
bao gao 	報告	c=17 d=0.120691 t=51676
bao guan li 	包管理	c=1 d=3.95844e-10 t=51676
bao guo 	包裹	c=1 d=0.00951391 t=51676
bao han 	包含	c=31 d=0.117667 t=51676
bao han zai 	包含在	c=1 d=4.74896e-05 t=51676
bao hu 	保護	c=3 d=7.18874e-50 t=51676
bao ji 	寶雞	c=4 d=2.99792e-55 t=51676
bao ji shi 	寶雞市	c=1 d=1.55959e-52 t=51676
bao jin wo 	抱緊我	c=1 d=0.00562801 t=51676
bao kao 	報考	c=8 d=4.65772e-07 t=51676
bao kao ren shu 	報考人數	c=1 d=1.21148e-51 t=51676
bao kuo 	包括	c=18 d=0.000696112 t=51676
bao liu 	保留	c=6 d=0.491644 t=51676
bao lu 	暴露	c=3 d=2.63929e-06 t=51676
bao lv 	爆率	c=2 d=0.733447 t=51676
bao shi 	寶石	c=3 d=1.29476e-63 t=51676
bao wei 	保衛	c=1 d=1.35847e-16 t=51676
bao wei 	包圍	c=2 d=1.97531 t=46907
bao wei he 	包围盒	c=1 d=1.22174e-62 t=51676
bao wen 	保溫	c=1 d=1.56991e-12 t=51676
bao wen 	報文	c=1 d=1.57778e-12 t=51676
bao xiang 	寶箱	c=2 d=2.7972e-34 t=51676
bao xiong 	抱胸	c=1 d=4.29237e-51 t=51676
bao zhang 	保障	c=1 d=4.99042e-59 t=51676
bao zhe 	抱着	c=1 d=3.32623e-51 t=51676
bao zheng 	保證	c=10 d=0.00767337 t=51676
bei 	倍	c=1 d=1.51216e-71 t=51676
bei 	備	c=1 d=1.07339e-39 t=51676
bei 	盃	c=7 d=1.62246e-17 t=51676
bei 	被	c=59 d=0.950232 t=51676
bei 	貝	c=1 d=0.606531 t=51676
bei bao 	背包	c=2 d=0.267135 t=51676
bei fen 	備份	c=4 d=3.4951e-16 t=51676
bei feng de hun xia 	北风的魂匣	c=1 d=1.12938e-49 t=51676
bei feng zhuang 	被封裝	c=1 d=8.65906e-13 t=51676
bei hang 	北航	c=1 d=1.84891e-54 t=51676
bei jing 	北京	c=7 d=0.100078 t=51676
bei jing 	背景	c=20 d=0.176655 t=51676
bei jing se 	背景色	c=2 d=4.47201e-15 t=51676
bei la 	貝拉	c=1 d=4.23306e-05 t=51676
bei mian 	背面	c=1 d=1 t=48256
bei sai er 	贝赛尔	c=2 d=6.18884e-21 t=51676
bei shu 	倍數	c=1 d=1.18907e-96 t=51676
bei wo 	被我	c=1 d=0.0107807 t=51676
bei ye 	貝葉	c=0 d=2.6565e-54 t=51676
bei ye si 	貝葉斯	c=2 d=5.57649e-53 t=51676
bei yin yong 	被引用	c=1 d=1 t=48380
bei you 	北郵	c=1 d=1.0249e-54 t=51676
bei zhu 	備注	c=2 d=7.28524e-10 t=51676
ben 	本	c=13 d=0.167698 t=51676
ben 	笨	c=3 d=3.56074e-29 t=51676
ben ci 	本次	c=4 d=0.00178799 t=51676
ben di 	本地	c=63 d=1.71927 t=51676
ben di hua 	本地化	c=1 d=1.16774e-89 t=51676
ben gong si 	本公司	c=1 d=4.97669e-56 t=51676
ben gong zuo liu 	本工作流	c=1 d=3.29247e-78 t=51676
